sm	R	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
sm-.0001	R-10	N-100	1D	11301-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.248719112277094	0.964488805970149	0.932514925373134	24975	2025	2525	421	40	40	24975	24975	1175
sm-.0001	R-10	N-100	1D	11515-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.67782370806301	0.993139303482587	0.995373134328358	24975	11800	3325	421	40	40	24975	24975	325
sm-.0001	R-10	N-100	1D	11569-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.352145448529325	0.977060945273632	0.971823383084577	24975	550	750	421	40	40	24975	24975	150
sm-.0001	R-10	N-100	1D	1617-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.339166046253294	0.882442786069652	0.960435323383085	24975	625	2550	421	40	40	24975	24975	425
sm-.0001	R-10	N-100	1D	18051-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.269894116117749	0.959564676616915	0.931232587064677	24975	200	2475	421	40	40	24975	24975	1775
sm-.0001	R-10	N-100	1D	18492-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.302635043310762	0.975120646766169	0.885136815920398	24975	24975	1500	421	40	40	24975	24975	150
sm-.0001	R-10	N-100	1D	2055-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.484243154772456	0.932582089552239	0.990049751243781	24975	1600	1775	421	40	40	24975	24975	325
sm-.0001	R-10	N-100	1D	21954-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.27923364176741	0.94846144278607	0.944399253731343	24975	150	1325	421	40	40	24975	24975	175
sm-.0001	R-10	N-100	1D	22646-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.342813367840134	0.995951492537314	0.965215174129353	24975	1050	1350	421	40	40	24975	24975	400
sm-.0001	R-10	N-100	1D	23679-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.435273040970917	0.996017412935323	0.9999092039801	24975	4600	4100	421	40	40	24975	24975	250
