mu	sm	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
mu1e-5	sm-.0001	N-100	1D	11616-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.298381846983986	0.949929644705764	NA	24975	5850	NA	402	99	NA	875	4275	NA
mu1e-5	sm-.0001	N-100	1D	12599-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.427860077720848	0.960020604050455	NA	24975	6000	NA	402	99	NA	4025	4450	NA
mu1e-5	sm-.0001	N-100	1D	13319-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.626308630974481	0.992271973466003	NA	24975	5875	NA	402	99	NA	1625	2150	NA
mu1e-5	sm-.0001	N-100	1D	13787-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.372946337961932	0.958582340821147	NA	24975	13475	NA	402	99	NA	8000	11475	NA
mu1e-5	sm-.0001	N-100	1D	14956-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.256974332318507	0.950998040102518	NA	24975	1975	NA	402	99	NA	1200	400	NA
mu1e-5	sm-.0001	N-100	1D	15037-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.366228929976981	0.923791647821499	NA	24975	6450	NA	402	99	NA	4500	4200	NA
mu1e-5	sm-.0001	N-100	1D	152-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.281163832578401	0.947474747474747	NA	24975	8575	NA	402	99	NA	1425	6100	NA
mu1e-5	sm-.0001	N-100	1D	16323-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.405504442959333	0.97418312478014	NA	24975	5700	NA	402	99	NA	3875	4125	NA
mu1e-5	sm-.0001	N-100	1D	16395-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.556775574862008	0.952740338710488	NA	24975	4275	NA	402	99	NA	1050	850	NA
mu1e-5	sm-.0001	N-100	1D	17284-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.38126444889978	0.94541032212674	NA	24975	11300	NA	402	99	NA	8950	8800	NA
mu1e-5	sm-.0001	N-100	1D	17555-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.273594094205589	0.976263631338258	NA	24975	4750	NA	402	99	NA	2300	3100	NA
mu1e-5	sm-.0001	N-100	1D	17840-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.308935051112596	0.980122116689281	NA	24975	17175	NA	402	99	NA	9300	14275	NA
mu1e-5	sm-.0001	N-100	1D	18711-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.392288309695305	0.950754811799588	NA	24975	5400	NA	402	99	NA	4025	2825	NA
mu1e-5	sm-.0001	N-100	1D	18924-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.345478824781565	0.950870898035077	NA	24975	4725	NA	402	99	NA	1775	3450	NA
mu1e-5	sm-.0001	N-100	1D	20621-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.481851439320809	0.938502939846223	NA	24975	7150	NA	402	99	NA	5875	4300	NA
mu1e-5	sm-.0001	N-100	1D	21101-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.07314422910324	0.578437609930147	NA	24975	21100	NA	402	99	NA	21150	20425	NA
mu1e-5	sm-.0001	N-100	1D	21408-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.667051558129749	0.982255389718076	NA	24975	15350	NA	402	99	NA	6650	5600	NA
mu1e-5	sm-.0001	N-100	1D	2188-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.495962104898394	0.955998291371426	NA	24975	5800	NA	402	99	NA	800	3250	NA
mu1e-5	sm-.0001	N-100	1D	22583-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.221325090963095	0.960047741092517	NA	24975	14475	NA	402	99	NA	9400	12700	NA
mu1e-5	sm-.0001	N-100	1D	23192-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.395838221826192	0.963403186089753	NA	24975	9975	NA	402	99	NA	1475	7225	NA
